微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273234958459967,【两会热词 | 政府工作报告首次提及“智能经济”，将带来何种变化？】#聚焦2026两会##2026两会我在场##全国两会看新广东#今年全国两会，人工智能的热度再创新高。3月5日，国务院总理李强作政府工作报告，提出“打造智能经济新形态”。报告还提出，深化拓展“人工智能+”，促进新一代智能终端和智能体 ...全文,,无,,,Thu Mar 05 22:24:09 +0800 2026,南方日报官方微博,1,0,1
5273126915015787,"【李乐成：#努力推动AI手机更好满足人民群众对美好生活的需求#】 2026年政府工作报告明确提出深化""人工智能+""，促进新一代智能终端和智能体加快推广。工信部部长李乐成指出，要努力推动AI手机等产品发展，更好满足人民群众对美好生活的需求。中国AI智能产品正走在世界前列，2025年底，字节跳动已发布 ...全文",,无,,,Thu Mar 05 15:14:49 +0800 2026,观察者网(www.guancha.cn)官方微博,12,0,2
5273234846258047,《小马驹诞生记——一个灵感的瞬间》AI是人类精心喂养的一匹小马驹，而不是小老虎。当它长大了，就成为人类最好的朋友，带着人类探索星辰大海！#原创视频# 文君幽谷闌的微博视频 ,,无,"https://f.video.weibocdn.com/u0/KhtT4rdQgx08vPMFof5e01041200IqgN0E010.mp4?label=mp4_hd&template=540x956.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728259&ssig=x6HdilSAfp&KID=unistore,video",,Thu Mar 05 22:23:42 +0800 2026,微博视频号,0,0,0
5273234829482233,深圳大学全新AI+专业，让文科的底层价值重现。文科关于认知、语言和思维的训练，是人机协同时代不可替代的“人类优势”。#2026全国两会##文科##理科##人工智能# 深圳卫视科创最前沿的微博视频 ,,无,"https://f.video.weibocdn.com/u0/wb5hqIxhgx08vPMHHiKI01041200xDU40E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728259&ssig=Rdhntm8r%2B2&KID=unistore,video",,Thu Mar 05 22:23:38 +0800 2026,深圳卫视《科创最前沿》官方微博,0,0,0
5273234421580776,今年经济增长目标4.5%至5% 咱们普通人的生活会跟着变吗？#薇观察 ##网络名人赞两会##2026全国两会# 吴薇的微博视频 ,,无,"https://f.video.weibocdn.com/o0/vkDEGD8zlx08vPMBcixG01041201Agju0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728259&ssig=uT48oVEbNy&KID=unistore,video",,Thu Mar 05 22:22:01 +0800 2026,科技博主 微博原创视频博主,0,0,0
5273173455012180,图片来源：央视新闻 ,,https://wx1.sinaimg.cn/orj360/006px7dkgy1iaw8pu54jdj30u01hcgsn.jpg,,,Thu Mar 05 18:19:45 +0800 2026,数码博主,79,2,6
5273219086944033,不少美国民众担忧数据中心会推高电力需求，可能导致电费上涨，微软、谷歌、OpenAI、亚马逊、Meta、xAI和甲骨文这七大科技巨头签署自主供电承诺。也就是说，人工智能大厂们得自己供电，怎么供？自己建发电厂吗？没有自己发的电就不准他建数据中心？这会大幅增加科技巨头的资本支出，负债增加 ...全文,,无,,,Thu Mar 05 21:21:05 +0800 2026,财经观察官 财经博主,29,4,11
5273233864789417,【消息称 Anthropic 重启与美国国防部谈判，OpenAI“抢单”局面生变】谈判核心在于 Anthropic 要求美方保证其 AI 不用于大规模监控和自主武器。若达成协议，美军可恢复使用其技术，同时降低公司被列入黑名单的风险。目前 OpenAI 已与五角大楼达成协议，行业格局或生变。#AI 伦理# #人工智能军事应用# ,,https://wx1.sinaimg.cn/orj360/001ZzMwgly1iawfnn4ukrj61400k1k3e02.jpg,,,Thu Mar 05 22:19:48 +0800 2026,IT之家（www.ithome.com）官方微博,1,0,1
5273211216595878,机器人，人工智能，创业板，还有天弘恒科，这些基都是在高位区域清仓的。不是卖在最高点，我没那个本事，只是在相对高位清仓。这些基里，恒科是回调最多的机器人，人工智能，创业板，之后有合适机会还会买回来的基金 ,,https://wx1.sinaimg.cn/orj360/005P3Fgdgy1iawd0f2i3jj30u00z6acz.jpg,,,Thu Mar 05 20:49:48 +0800 2026,头像本人,72,0,30
5273233735816034,#十五五规划里的个人机遇#【首次提出智能经济新形态！#智能经济有望成经济转型关键突破#】“智能经济新形态”在今年《政府工作报告》中首次提出。多家金融机构专家和首席经济学家表示，智能经济未来有望成为新质生产力发展的核心抓手与经济转型的关键突破。专家指出，智能经济是以人工智能为核心驱动力 ...全文,,无,"https://f.video.weibocdn.com/o0/rxcu8Npzlx08vPMoFrvO01041200jiKX0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728259&ssig=mmOdhy9UUf&KID=unistore,video",,Thu Mar 05 22:19:17 +0800 2026,中央广播电视总台,5,2,1
