微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273215795464334,【博通CEO预计明年公司人工智能芯片销售额将超过1000亿美元】博通首席执行官Hock Tan表示，预计公司人工智能芯片销售额明年将超过1000亿美元，将标志着该公司在英伟达主导的领域取得重大进展。“我们有信心”在2027年实现这一里程碑，”他在与分析师的电话会议上表示。“我们也已经确保了实现这一目标 ...全文,,无,,,Thu Mar 05 21:08:00 +0800 2026,i商周官方微博,1,0,0
5273215697944677,【前行2026·代表丨全国#人大代表杨涛称将助力湖南抢滩人工智能#】#人大代表杨涛称将助力湖南抢滩人工智能+#3月5日，全国人大代表汤涛接受@潇湘晨报 记者采访时表示，将助力湖南抢滩“人工智能+”，企业提供场地、算力、技术支持年轻人创业。#2026脉动前行# 北京 潇湘晨报的微博视频  ,,无,"https://f.video.weibocdn.com/o0/MePsE01olx08vPFWptHO010412006Cji0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=ssOfAMrj09&KID=unistore,video",,Thu Mar 05 21:07:36 +0800 2026,《潇湘晨报》官方微博,4,2,1
5273215041276822,【“2026世界人工智能大会青年优秀论文奖”参评论文申报启动，4月26日截止】第九届世界人工智能大会今年7月将在上海举办。@上海科协 介绍，现将推荐“2026世界人工智能大会青年优秀论文奖”参评论文有关事宜通知如下↓#建设人民城市共筑美好生活#请点击→网页链接 查看附件。 ,,https://wx1.sinaimg.cn/orj360/002LTpVogy1iawcsld9bpj60xw7iau0y02.jpg,,,Thu Mar 05 21:05:00 +0800 2026,上海市政府新闻办公室官方微博,4,1,0
5273214537436107,#两会看政法#【全国人大代表：加强人工智能法治化建设】“人工智能正以前所未有的深度和广度，重塑经济社会发展格局。”全国人大代表、贵州省律师协会监事长朱山建议，加快顶层立法与关键领域规则供给，构建敏捷响应、风险分级的制度框架，以及创新适应技术特性的归责原则与司法机制，破解权责认定难题 ...全文,,https://wx1.sinaimg.cn/orj360/00688ubUly1iaw542dr6sj60la0k57am02.jpg,,,Thu Mar 05 21:03:00 +0800 2026,中央政法委新闻网站官方微博,5,3,2
5273213879190097,#两会#【两会热词｜具身智能　未来可期】3月5日，十四届全国人大四次会议在人民大会堂开幕，国务院总理李强向大会作政府工作报告提出，要培育发展具身智能等未来产业。 “十五五”规划建议亦提出，要前瞻布局未来产业，推动具身智能等成为新的经济增长点。什么是「具身智能」？具身智能与传统人工智能 ...全文,,https://wx1.sinaimg.cn/orj360/007YL8vOgy1iaw8c3xiqlj31hc0tzjve.jpg,,,Thu Mar 05 21:00:23 +0800 2026,點新聞官方微博,0,0,0
5273213785343033,#2026看两会#【#这场部长通道太提气了#】“基础研究投入接近2800亿元，比重达到7.08%，首次破7，创历史新高！”3月5日，十四届全国人大四次会议首场“部长通道”在人民大会堂举行。戳视频↓↓感受现场！#奋进的春天#（人民网微博） 人民网的微博视频 ,,无,"https://f.video.weibocdn.com/o0/wXHVOxOKlx08vPFEh5ss01041200kGRm0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=x8JjHDySRG&KID=unistore,video",,Thu Mar 05 21:00:01 +0800 2026,人民网法人微博,113,23,84
5273213782723523,#五角大楼就AI军用与科企激烈交锋#【美媒：五角大楼与Anthropic公司为何分道扬镳？】美国《华尔街日报》网站3月2日发表一篇报道，题为《“气场不合”导致五角大楼与Anthropic公司分道扬镳》，内容编译如下：在与美国国防部长皮特·赫格塞思进行首次面对面会谈时，Anthropic公司首席执行官(CEO)达里奥· ...全文,,https://wx1.sinaimg.cn/orj360/002AJCr1ly1iawcgj6h6gj60xc0m8n2g02.jpg,,,Thu Mar 05 21:00:00 +0800 2026,参考消息报社官方微博,2,2,0
5273213622029284,【#商丘日报社AIGC融媒体实验室正式揭牌# 】惊蛰至，万物春。3月5日，商丘日报社AIGC融媒体实验室揭牌暨“惊蛰”融媒培训计划启动仪式举行。AIGC融媒体实验室正式成立，这是商丘日报社主动拥抱人工智能、加快融媒数字化转型的重要举措，标志着商丘日报社在智能化、数字化、融合化发展道路上迈出了坚实 ...全文,,"https://wx4.sinaimg.cn/orj360/79fc4611ly1iawdb0guflj218g0tnx4e.jpg,https://wx1.sinaimg.cn/orj360/79fc4611ly1iawdbrqtijj218g0ti1kx.jpg",,,Thu Mar 05 20:59:22 +0800 2026,商丘日报社商丘日报官方微博,1,0,0
5273213527658252,官宣！欢迎Google Gemini成为阿根廷国家队全球主要赞助商！世界冠军与全球科技创新领导者强强联手，体育与AI将迎来里程碑式融合！ 阿根廷国家足球队的微博视频 ,,无,"https://f.video.weibocdn.com/o0/GMhBmErGlx08vPGRbvAA010412005exz0E010.mp4?label=mp4_hd&template=480x848.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728268&ssig=5gCc%2Bu9vMn&KID=unistore,video",,Thu Mar 05 20:58:59 +0800 2026,阿根廷国家足球队、阿根廷足协官方微博,47,3,2
