微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
5273170200496767,#林耘有话说# #ai# AI必须有立场，政治正确？美国财政部长贝森特下逐客令：人工智能初创公司Anthropic：几天后将脱离美国体系。 ,,https://wx4.sinaimg.cn/orj360/498f7927gy1iaw8f7oovvj20w067ehdt.jpg,,,Thu Mar 05 18:06:49 +0800 2026,投资内容创作者  财经观察官 头条文章作者,12,5,1
5273091308786689,阿里看不上的别的地方抢着要😅 ,,"https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz9wja4bj20gn0azn2j.jpg,https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz8vzbddj20v918sqt3.jpg,https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz9cpxpdj20gp0c9gov.jpg,https://wx2.sinaimg.cn/orj360/66fd066bgy1iaw14thtbvj20x40zogw4.jpg",,,Thu Mar 05 12:53:20 +0800 2026,前微软Asp.Net最有价值专家  2025微博年度新知博主 科技博主,487,81,68
5273238974238488,【环球网：#日本瞄上北约项目##日本申请加入北约国防技术创新项目#】据环球网援引《日本经济新闻》3月5日报道，日本政府向北约提出申请，请求加入该组织的国防技术项目“防务创新加速器”（DIANA）。报道称，如果日方请求得到批准，日本将成为加入该项目的首个非北约成员国。据报道，北约DIANA项目旨 ...全文,,无,"https://f.video.weibocdn.com/o0/t57Z1NE7lx08vPNtxTgQ010412002Q2r0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1772728246&ssig=GnQhfcHN4I&KID=unistore,video",,Thu Mar 05 22:40:06 +0800 2026,北京日报社视频官方账号,0,0,0
5273238200387436,娱乐资本论曾报道过的3D生成大模型开发商VAST完成5000万美元A轮融资。本轮融资由阿里巴巴、恒旭资本联合领投，元禾璞华、BV百度风投、东方嘉富跟投，老股东春华创投、北京市人工智能产业投资基金追加投资。本轮融得的资金将主要用于VAST“世界模型”相关顶尖人才的招募、核心算法迭代与数据积累，以及 ...全文,,无,,,Thu Mar 05 22:37:02 +0800 2026,娱乐博主,0,0,0
5273235710018840,#光明看两会#【#张玉卓答光明日报记者问#】国务院国资委主任张玉卓表示，中国风光发电装机占全球50%，一半在央企；央企智算规模两年增长17倍；新能源汽车三年产量收入翻番，自主品牌市占率从10%提升至16.5%……三年来，央企战新产业营收12.3万亿元，形成5个万亿级产业集群，以新质生产力筑牢发展底座。 ...全文,,无,"https://f.video.weibocdn.com/o0/6odRfXmulx08vPM87lsI01041200yyXf0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772728256&ssig=uixtz0Ejtz&KID=unistore,video",,Thu Mar 05 22:27:08 +0800 2026,光明日报法人微博,2,0,2
5273235680924061,【工信部部长李乐成：#全力推进新一代人工智能产品的攻关和迭代#】3月5日，十四届全国人大四次会议首场“部长通道”集中采访活动在人民大会堂举行，工业和信息化部部长李乐成就当前我国人工智能产业发展形势及如何推动人工智能创新发展回答了记者提问。工信部部长李乐成：全力推进新一代人工智能产品的攻关和迭代 ,,https://wx1.sinaimg.cn/orj360/00221ubBgy1iawfv34avoj60p00gowow02.jpg,,,Thu Mar 05 22:27:01 +0800 2026,集成电路社区集微网官方微博,0,3,0
5273193653998051,【拒绝中国：#加拿大选择印度作为航天与AI合作伙伴#】3月4日，加拿大总理马克·卡尼在悉尼洛伊研究所发表讲话。卡尼明确表示，加拿大在航空航天及人工智能（AI）领域正深化与印度的合作，不会与中国合作。卡尼公开表态：“我们当然不会寻求与中国进行AI合作。” 与此同时，他强调，拒绝中国并不意味着 ...全文,,无,"https://f.video.weibocdn.com/o0/U3OaCNodlx08vPwZtD20010412002i570E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772728251&ssig=uTh4%2FukRc2&KID=unistore,video",,Thu Mar 05 19:40:01 +0800 2026,RT官方微博,1180,62,291
5273187693893116,排面拉满了，新华社点赞小鹏换道超车！ 小鹏第二代VLA正式落地，直接把智驾架构改成V-A直连，全栈自研物理世界大模型，不光能用在自动驾驶，还能覆盖Robotaxi、飞行汽车、人形机器人，一次技术突破，打通整个未来出行！ 新华社直接盖章：中国答案，换道超车！摩根士丹利也点名：小鹏现在有实力和 ...全文,,"https://wx1.sinaimg.cn/orj360/007CJW7Wly1iawa9f1nrwj31hc0u00t1.jpg,https://wx3.sinaimg.cn/orj360/007CJW7Wly1iawacnekz7j30u09744qs.jpg","https://f.video.weibocdn.com/o0/py4eEFWVlx08vPzF0TiM01041200yKvK0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728258&ssig=rN6uu37ns%2F&KID=unistore,video",,Thu Mar 05 19:16:20 +0800 2026,汽车博主 微博原创视频博主,22,2,3
5273235012715883,《不要当男人的电子宠物》作者：七流　　文案：　　星元2062年。　　相南里从事科研工作。　　他进入世界最顶尖的高校，拿着最高规格的经费，试图制造出跨时代的超级智械。　　这个凝聚了无数人心血的人工智能模型，被相南里取名为“Alpha”。　　他叫它的名字，和它互动，亲自确认每一行代码。 ...全文,,无,,,Thu Mar 05 22:24:22 +0800 2026,iPhone客户端,0,0,0
5273234976540075,AI含量极高！#2026全国两会##政府工作报告#首次提出“智能经济新形态”！从产业转型到生活方式，人工智能已成为推动经济高质量发展的核心引擎。智能经济浪潮已至，未来充满无限可能！#策马春风跃新程##人工智能# 芒果TV的微博视频 ,,无,"https://f.video.weibocdn.com/o0/AtWCvdBSlx08vPMIV0vu010412005XHS0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728258&ssig=gDZM%2FkLOxy&KID=unistore,video",,Thu Mar 05 22:24:12 +0800 2026,芒果TV 官方微博,2,0,14
